flag,avg_min_between_sent_tnx,avg_min_between_received_tnx,time_diff_between_first_and_last_(mins),sent_tnx,number_of_created_contracts,unique_received_from_addresses,unique_sent_to_addresses,min_value_received,avg_val_received,min_val_sent,max_val_sent,total_transactions_(including_tnx_to_create_contract,total_ether_sent,total_ether_received,total_ether_balance,erc20_uniq_sent_addr,erc20_min_val_rec,erc20_max_val_rec,erc20_avg_val_rec,erc20_min_val_sent,erc20_uniq_rec_token_name,erc20_rec_token_risk
0,0.0,1579.42,229015.3,0,1,8,0,0.0,0.372146,0.0,0.0,146,0.0,53.96121734,53.96121734,0.0,0.62316,1.282433,0.952796,0.0,2.0,0.004589787722317842
1,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,,,,,,,0.0
0,165.76,0.21,331.93,2,0,2,2,48.403768,50.5,0.049,100.949974,4,100.9989738,101.0,0.001026218,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0,7.42,19604.51,39223.85,2,0,1,2,1.0,1.500968,0.999496,2.001389,4,3.000885101,3.0019351010000004,0.00105,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0,728.08,17127.97,285696.68,16,0,12,1,0.63974,3.876323,0.638332,11.440176,32,62.00705456,62.02116393,0.01410937,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0,1357.2,34580.69,355307.23,7,0,6,7,0.0670419999999999,1.893918,0.051,5.678807,17,18.90772057,18.93917787,0.0314573,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0,0.0,3.47,6.93,0,0,1,0,1.0,3.5,0.0,0.0,2,0.0,7.0,7.0,0.0,0.0,604.3403509999998,74.87383100000002,0.0,10.0,0.0005737234652897303
0,39.42,76779.89,153638.63,2,0,1,1,0.209688,0.799844,0.206644,1.385357,4,1.59200082,1.599687834,0.007687014,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0,52.81,4549.21,612068.8,133,0,20,1,0.0599,84.967084,0.05896,1999.99906,266,11300.5275,11300.62216,0.094658461,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0,134.97,8427.96,898837.57,103,0,1,1,0.112939,1.024937,1.008043,1.7774299999999998,208,107.385162,107.6184304,0.23326833,0.0,0.0,0.0,0.0,0.0,2.0,0.0
1,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,,,,,,,0.0
